year,month,state,customers,price,revenue,sales
2001,3,Ohio,,6.29,847.94726,13478.08025
2001,3,Oklahoma,,6.27,217.16149,3464.19955
2001,3,Oregon,,5.15,219.5184,4261.74649
2001,3,Pennsylvania,,7.75,890.75261,11491.10293
2001,3,Rhode Island,,11.71,74.47426,635.92137
2001,3,South Carolina,,5.65,317.46005,5618.79838
2001,3,South Dakota,,6.11,43.47168,712.01183
2001,3,Tennessee,,5.48,405.58197,7404.03308
2001,3,Texas,,7.02,1574.66003,22424.411
2001,3,Utah,,4.92,89.49908,1819.7074
2001,3,Vermont,,10.84,51.44284,474.67895
2001,3,Virginia,,6.06,488.82662,8069.86409
2001,3,Washington,,5.37,394.96252,7354.8162
2001,3,West Virginia,,5.15,123.75481,2405.0742
2001,4,Washington,,5.4,364.18796,6746.81955
2001,4,West Virginia,,5.0,112.42523,2249.49921
2001,4,Wisconsin,,6.02,294.74725,4893.6931
2001,4,Wyoming,,4.26,45.10077,1058.05787
2001,4,New England,,10.84,965.95754,8908.26036
2001,4,Georgia,,6.19,537.89397,8689.87928
2001,4,California,,9.88,1862.13954,18855.59986
2001,4,Colorado,,5.91,193.15849,3266.12375
2001,4,Connecticut,,9.61,215.06662,2238.10342
2001,4,Hawaii,,13.91,107.58155,773.36126
2001,4,Idaho,,4.38,68.70763,1566.89333
2001,4,Illinois,,6.61,635.57088,9619.05588
2001,4,Arizona,,6.87,287.67634,4184.61427
2001,4,Arkansas,,6.04,179.5986,2973.53436
2001,4,New Hampshire,,11.75,93.09297,792.41891
2001,4,New Jersey,,9.18,494.70188,5387.16979
2001,4,New Mexico,,7.06,96.09928,1361.10782
2001,4,New York,,10.7,1178.4547,11015.86386
2001,4,North Carolina,,6.38,584.36671,9156.13281
2001,4,North Dakota,,5.34,40.34696,756.09231
2001,4,Kansas,,6.02,155.55178,2584.93667
2001,4,Kentucky,,4.01,257.73438,6429.94829
2001,4,Louisiana,,7.75,423.87761,5468.60055
2001,4,Nevada,,7.61,162.72269,2137.30092
2001,4,East South Central,,5.24,1212.42886,23142.31162
2001,4,West South Central,,6.96,2405.26579,34577.75284
2001,4,Alabama,,5.72,347.18634,6064.53539
2001,4,Alaska,,10.59,46.82643,442.19678
2001,4,Ohio,,6.47,770.53548,11905.45683
2001,4,Oklahoma,,5.97,209.09346,3500.60726
2001,4,Oregon,,5.27,200.70284,3809.47979
2001,4,Pennsylvania,,7.87,823.5097,10469.35599
2001,4,Rhode Island,,12.69,66.53551,524.21758
2001,4,Delaware,,6.31,55.3045,876.89992
2001,4,District of Columbia,,6.27,50.63702,807.52502
2001,4,South Carolina,,5.59,319.42545,5716.36519
2001,4,South Dakota,,6.23,40.56778,651.01042
2001,4,Tennessee,,5.51,408.92528,7420.05872
2001,4,Texas,,7.04,1592.69612,22635.01066
2001,4,Utah,,5.39,89.16701,1655.35048
2001,4,Vermont,,10.42,44.61706,428.20555
2001,4,Virginia,,6.05,433.06268,7153.24248
2001,4,Mountain,,6.24,1006.879,16128.23788
2001,4,Pacific Contiguous,,8.25,2427.03034,29411.8992
2001,4,Pacific Noncontiguous,,12.7,154.40798,1215.55805
2001,4,Indiana,,5.14,385.88096,7506.75366
2001,4,Iowa,,6.02,180.50446,2996.92879
2001,4,Middle Atlantic,,9.29,2496.66628,26872.38965
2001,4,East North Central,,6.26,2607.64737,41664.92207
2001,4,West North Central,,5.65,1053.17063,18641.81774
2001,4,South Atlantic,,6.55,3526.35932,53827.78604
2001,4,U.S. Total,,7.02,17855.81312,254390.93545
2001,4,Massachusetts,,11.52,453.05578,3931.21075
2001,4,Michigan,,6.73,520.91281,7739.96261
2001,4,Minnesota,,5.7,253.33039,4444.99106
2001,4,Mississippi,,6.15,198.58285,3227.76922
2001,4,Missouri,,5.43,293.03367,5401.29012
2001,4,Montana,,7.15,64.2468,898.78944
2001,4,Nebraska,,4.97,89.83558,1806.56837
2001,4,Florida,,7.87,1152.31433,14641.45178
2001,4,Maine,,9.41,93.58959,994.10415
2001,4,Maryland,,6.19,280.92942,4536.79034
2001,5,Indiana,,5.27,401.72992,7620.148
2001,5,Iowa,,6.33,195.56666,3089.96384
2001,5,Kansas,,6.22,173.59135,2789.57491
2001,5,Kentucky,,4.22,259.17294,6141.43608
2001,5,Louisiana,,7.29,440.52814,6039.13749
2001,5,Maine,,9.21,94.07954,1021.4839
2001,5,Maryland,,6.71,316.54225,4716.55161
2001,5,Massachusetts,,11.45,469.15502,4097.92992
2001,5,Michigan,,6.81,556.61449,8179.23322
2001,5,Minnesota,,5.96,282.77671,4744.50661
2001,5,Mississippi,,6.44,221.57858,3439.31498
2001,5,Missouri,,6.22,345.78979,5557.42671
2001,5,Montana,,7.34,61.49421,837.71784
2001,5,Nebraska,,5.21,96.67018,1854.17914
2001,5,Nevada,,7.75,191.03046,2463.42226
2001,5,Arizona,,7.86,403.40898,5131.87593
2001,5,Arkansas,,6.16,189.39388,3076.88704
2001,5,California,,9.82,1949.72255,19862.25747
2001,5,Colorado,,6.2,213.74169,3445.89435
2001,5,Connecticut,,9.57,226.2195,2363.02347
2001,5,Delaware,,6.74,54.81333,813.37981
2001,5,District of Columbia,,7.54,61.80657,819.69814
2001,5,Florida,,7.87,1184.20522,15042.69494
2001,5,Georgia,,6.23,586.62881,9421.91702
2001,5,Hawaii,,13.88,113.6402,818.55501
2001,5,Idaho,,5.12,86.66099,1691.96127
2001,5,Illinois,,6.88,737.15295,10710.9487
2001,5,Mountain,,6.75,1213.15277,17970.76042
2001,5,Pacific Contiguous,,8.24,2484.76498,30168.63785
2001,5,Pacific Noncontiguous,,12.76,157.52757,1234.45567
2001,5,U.S. Total,,7.17,18969.93109,264490.49166
2001,5,East South Central,,5.34,1245.32714,23305.63224
2001,5,West South Central,,7.14,2668.49411,37367.27781
2001,5,New Hampshire,,10.39,84.12018,809.93177
2001,5,New Jersey,,9.22,510.90295,5540.51311
2001,5,Texas,,7.34,1799.84359,24516.03339
2001,5,Utah,,5.42,102.60095,1891.86236
2001,5,Vermont,,10.56,45.58822,431.8434
2001,5,New Mexico,,7.35,109.3765,1487.88009
2001,5,New York,,10.97,1208.33433,11019.82183
2001,5,North Carolina,,6.36,570.8672,8972.34998
2001,5,North Dakota,,5.58,40.87191,732.34724
2001,5,Ohio,,6.9,840.81931,12190.94107
2001,5,Oklahoma,,6.39,238.72849,3735.21989
2001,5,Oregon,,5.15,193.43241,3756.51953
2001,5,Pennsylvania,,8.0,823.26466,10296.97273
2001,5,Rhode Island,,11.72,70.24939,599.25678
2001,5,South Carolina,,5.45,318.69335,5845.0282
2001,5,South Dakota,,6.49,41.03569,632.57974
2001,5,Virginia,,6.17,445.58375,7223.5769
2001,5,Washington,,5.22,341.61002,6549.86084
2001,5,West Virginia,,5.04,106.27875,2108.17448
2001,5,Wisconsin,,5.98,310.71248,5197.73051
2001,5,Wyoming,,4.4,44.839,1020.14633
